Starttime - 2009-11-30 20:40:39.640000
877 : 385003 : 4
878 : 385881 : 8
879 : 386760 : 64
880 : 387640 : 32
881 : 388521 : 18
882 : 389403 : 18
883 : 390286 : 16
884 : 391170 : 64
885 : 392055 : 16
886 : 392941 : 4
887 : 393828 : 24
888 : 394716 : 48
889 : 395605 : 16
890 : 396495 : 40
891 : 397386 : 40
892 : 398278 : 16
893 : 399171 : 16
894 : 400065 : 16
895 : 400960 : 56
896 : 401856 : 112
897 : 402753 : 16
898 : 403651 : 8
899 : 404550 : 72
900 : 405450 : 72
901 : 406351 : 16
902 : 407253 : 32
903 : 408156 : 48
904 : 409060 : 24
905 : 409965 : 16
906 : 410871 : 8
907 : 411778 : 8
908 : 412686 : 24
909 : 413595 : 48
910 : 414505 : 16
911 : 415416 : 32
912 : 416328 : 64
913 : 417241 : 8
914 : 418155 : 16
915 : 419070 : 32
916 : 419986 : 16
917 : 420903 : 32
918 : 421821 : 16
919 : 422740 : 24
920 : 423660 : 48
921 : 424581 : 8
922 : 425503 : 8
923 : 426426 : 64
924 : 427350 : 96
925 : 428275 : 12
926 : 429201 : 12
927 : 430128 : 60
928 : 431056 : 20
929 : 431985 : 16
930 : 432915 : 48
931 : 433846 : 24
932 : 434778 : 16
933 : 435711 : 8
934 : 436645 : 16
935 : 437580 : 144
936 : 438516 : 36
937 : 439453 : 8
938 : 440391 : 16
939 : 441330 : 32
940 : 442270 : 16
941 : 443211 : 8
942 : 444153 : 16
943 : 445096 : 32
944 : 446040 : 128
945 : 446985 : 64
946 : 447931 : 8
947 : 448878 : 16
948 : 449826 : 32
949 : 450775 : 24
950 : 451725 : 24
951 : 452676 : 48
952 : 453628 : 24
953 : 454581 : 12
954 : 455535 : 24
955 : 456490 : 16
956 : 457446 : 32
957 : 458403 : 16
958 : 459361 : 8
959 : 460320 : 96
960 : 461280 : 72
961 : 462241 : 12
962 : 463203 : 24
963 : 464166 : 24
964 : 465130 : 16
965 : 466095 : 32
966 : 467061 : 16
967 : 468028 : 18
968 : 468996 : 72
969 : 469965 : 32
970 : 470935 : 8
971 : 471906 : 24
972 : 472878 : 48
973 : 473851 : 8
974 : 474825 : 24
975 : 475800 : 96
976 : 476776 : 16
977 : 477753 : 8
978 : 478731 : 16
979 : 479710 : 48
980 : 480690 : 72
981 : 481671 : 12
982 : 482653 : 4
983 : 483636 : 24
984 : 484620 : 48
985 : 485605 : 16
986 : 486591 : 32
987 : 487578 : 64
988 : 488566 : 32
989 : 489555 : 48
990 : 490545 : 24
991 : 491536 : 20
992 : 492528 : 40
993 : 493521 : 16
994 : 494515 : 16
995 : 495510 : 32
996 : 496506 : 16
997 : 497503 : 4
998 : 498501 : 16
999 : 499500 : 96
1000 : 500500 : 96
1001 : 501501 : 32
1002 : 502503 : 16
1003 : 503506 : 16
1004 : 504510 : 32
1005 : 505515 : 16
1006 : 506521 : 8
1007 : 507528 : 96
1008 : 508536 : 48
1009 : 509545 : 8
1010 : 510555 : 16
1011 : 511566 : 32
1012 : 512578 : 16
1013 : 513591 : 12
1014 : 514605 : 48
1015 : 515620 : 48
1016 : 516636 : 36
1017 : 517653 : 12
1018 : 518671 : 4
1019 : 519690 : 32
1020 : 520710 : 32
1021 : 521731 : 8
1022 : 522753 : 32
1023 : 523776 : 80
1024 : 524800 : 60
1025 : 525825 : 48
1026 : 526851 : 32
1027 : 527878 : 16
1028 : 528906 : 32
1029 : 529935 : 32
1030 : 530965 : 8
1031 : 531996 : 24
1032 : 533028 : 24
1033 : 534061 : 8
1034 : 535095 : 48
1035 : 536130 : 96
1036 : 537166 : 32
1037 : 538203 : 16
1038 : 539241 : 8
1039 : 540280 : 32
1040 : 541320 : 64
1041 : 542361 : 8
1042 : 543403 : 8
1043 : 544446 : 48
1044 : 545490 : 96
1045 : 546535 : 16
1046 : 547581 : 8
1047 : 548628 : 24
1048 : 549676 : 12
1049 : 550725 : 24
1050 : 551775 : 24
1051 : 552826 : 8
1052 : 553878 : 40
1053 : 554931 : 40
1054 : 555985 : 16
1055 : 557040 : 80
1056 : 558096 : 80
1057 : 559153 : 12
1058 : 560211 : 12
1059 : 561270 : 32
1060 : 562330 : 16
1061 : 563391 : 12
1062 : 564453 : 12
1063 : 565516 : 24
1064 : 566580 : 96
1065 : 567645 : 32
1066 : 568711 : 16
1067 : 569778 : 32
1068 : 570846 : 16
1069 : 571915 : 8
1070 : 572985 : 48
1071 : 574056 : 96
1072 : 575128 : 32
1073 : 576201 : 16
1074 : 577275 : 24
